position,sku,make,model,part_name,category,oem_number,oem_status,catalog_page,image_path,landing_page
164,PGE-FET-164,Fette,2200i,DOSING WHEEL WITH ROUND RODS,Product Control,Needed,needed,31,/assets/images/parts/fette/pge-fet-164.png,/parts/pge-fet-164/
165,PGE-FET-165,Fette,2200i,36 STATION TURRET,Turrets,Needed,needed,31,/assets/images/parts/fette/pge-fet-165.png,/parts/pge-fet-165/
166,PGE-FET-166,Fette,2200i,36 STATION TURRET ASSEMBLY* - EU “B”,Turrets,Needed,needed,31,/assets/images/parts/fette/pge-fet-166.png,/parts/pge-fet-166/
167,PGE-FET-167,Fette,2200i,36 STATION TURRET ASSEMBLY* - EU “B”,Turrets,Needed,needed,31,/assets/images/parts/fette/pge-fet-167.png,/parts/pge-fet-167/
168,PGE-FET-168,Fette,2200i,LUBE FELT FOR PUNCH SHANK (WIPING FELT),Upper Cam Tracks,3101612,catalog-supplied,31,/assets/images/parts/fette/pge-fet-168.png,/parts/pge-fet-168/
169,PGE-FET-169,Fette,2200i,UPPER RAISING CAM - STEEL- IPT 19,Upper Cam Tracks,Needed,needed,31,/assets/images/parts/fette/pge-fet-169.png,/parts/pge-fet-169/
170,PGE-FET-170,Fette,3090i,M5 BRASS TIPPED SET SCREW,Drive Components,Needed,needed,32,/assets/images/parts/fette/pge-fet-170.png,/parts/pge-fet-170/
171,PGE-FET-171,Fette,3090i,WEAR PLATE - EJECTOR,Lower Cam Tracks,3109003,catalog-supplied,32,/assets/images/parts/fette/pge-fet-171.png,/parts/pge-fet-171/
172,PGE-FET-172,Fette,3090i,PULL DOWN CAM - DOSING,Lower Cam Tracks,3133034,catalog-supplied,32,/assets/images/parts/fette/pge-fet-172.png,/parts/pge-fet-172/
173,PGE-FET-173,Fette,3090i,GRIP LEDGE FOR DOSING,Lower Cam Tracks,3133029,catalog-supplied,32,/assets/images/parts/fette/pge-fet-173.png,/parts/pge-fet-173/
174,PGE-FET-174,Fette,3090i,PULL DOWN CAM,Lower Cam Tracks,3133030,catalog-supplied,32,/assets/images/parts/fette/pge-fet-174.png,/parts/pge-fet-174/
175,PGE-FET-175,Fette,3090i,EJECTION/DOSING RAMP,Lower Cam Tracks,3108387,catalog-supplied,32,/assets/images/parts/fette/pge-fet-175.png,/parts/pge-fet-175/
176,PGE-FET-176,Fette,3090i,WEAR PLATE,Lower Cam Tracks,Needed,needed,32,/assets/images/parts/fette/pge-fet-176.png,/parts/pge-fet-176/
177,PGE-FET-177,Fette,3090i,14MM FILL CAM IPT 1”,Lower Cam Tracks,3113458,catalog-supplied,32,/assets/images/parts/fette/pge-fet-177.png,/parts/pge-fet-177/
